0,0,7.030
2,0,7.032
4,0,7.028
6,0,7.045
8,0,7.076
10,0,7.117
12,0,7.167
14,0,7.228
16,0,7.278
18,0,7.331
20,0,7.383
22,0,7.432
24,0,7.473
26,0,7.502
28,0,7.543
30,0,7.581
32,0,7.617
34,0,7.636
36,0,7.648
38,0,7.665
40,0,7.690
42,0,7.729
44,0,7.776
46,0,7.823
48,0,7.855
50,0,7.875
52,0,7.883
54,0,7.891
56,0,7.891
58,0,7.885
60,0,7.887
62,0,7.898
64,0,7.915
66,0,7.921
68,0,7.920
70,0,7.912
72,0,7.904
74,0,7.909
76,0,7.931
78,0,7.932
80,0,7.828
82,0,7.563
84,0,7.178
86,0,6.819
88,0,6.666
90,0,6.732
92,0,6.871
94,0,6.945
96,0,6.921
98,0,6.792
100,0,6.568
102,0,6.339
104,0,6.217
106,0,6.258
108,0,6.462
110,0,6.739
112,0,7.026
114,0,7.242
116,0,7.340
118,0,7.363
120,0,7.350
122,0,7.328
124,0,7.308
126,0,7.287
128,0,7.245
130,0,7.162
132,0,7.053
134,0,6.936
136,0,6.835
138,0,6.716
140,0,6.541
142,0,6.285
144,0,5.979
146,0,5.710
148,0,5.572
150,0,5.566
150,2,5.698
148,2,5.666
146,2,5.648
144,2,5.667
142,2,5.726
140,2,5.833
138,2,5.988
136,2,6.156
134,2,6.316
132,2,6.446
130,2,6.555
128,2,6.650
126,2,6.739
124,2,6.833
122,2,6.928
120,2,7.008
118,2,7.051
116,2,7.064
114,2,7.058
112,2,7.064
110,2,7.108
108,2,7.186
106,2,7.255
104,2,7.301
102,2,7.307
100,2,7.260
98,2,7.156
96,2,7.010
94,2,6.860
92,2,6.713
90,2,6.601
88,2,6.577
86,2,6.632
84,2,6.709
82,2,6.793
80,2,6.836
78,2,6.835
76,2,6.793
74,2,6.720
72,2,6.644
70,2,6.646
68,2,6.813
66,2,7.120
64,2,7.462
62,2,7.749
60,2,7.914
58,2,7.956
56,2,7.936
54,2,7.907
52,2,7.904
50,2,7.915
48,2,7.935
46,2,7.956
44,2,7.973
42,2,7.980
40,2,7.982
38,2,7.985
36,2,7.984
34,2,7.977
32,2,7.964
30,2,7.946
28,2,7.929
26,2,7.899
24,2,7.853
22,2,7.802
20,2,7.760
18,2,7.733
16,2,7.708
14,2,7.683
12,2,7.645
10,2,7.593
8,2,7.543
6,2,7.497
4,2,7.437
2,2,7.359
0,2,7.276
0,4,7.277
2,4,7.298
4,4,7.333
6,4,7.368
8,4,7.412
10,4,7.454
12,4,7.493
14,4,7.535
16,4,7.569
18,4,7.597
20,4,7.628
22,4,7.664
24,4,7.701
26,4,7.735
28,4,7.764
30,4,7.785
32,4,7.801
34,4,7.815
36,4,7.838
38,4,7.870
40,4,7.911
42,4,7.947
44,4,7.975
46,4,7.988
48,4,8.002
50,4,8.018
52,4,8.031
54,4,8.034
56,4,8.028
58,4,8.021
60,4,8.010
62,4,7.992
64,4,7.969
66,4,7.946
68,4,7.931
70,4,7.935
72,4,7.958
74,4,7.996
76,4,7.985
78,4,7.846
80,4,7.564
82,4,7.204
84,4,6.872
86,4,6.693
88,4,6.689
90,4,6.763
92,4,6.830
94,4,6.888
96,4,6.906
98,4,6.892
100,4,6.880
102,4,6.880
104,4,6.943
106,4,7.057
108,4,7.177
110,4,7.274
112,4,7.317
114,4,7.276
116,4,7.124
118,4,6.886
120,4,6.628
122,4,6.438
124,4,6.375
126,4,6.429
128,4,6.518
130,4,6.561
132,4,6.524
134,4,6.430
136,4,6.328
138,4,6.215
140,4,6.082
142,4,5.931
144,4,5.817
146,4,5.757
148,4,5.789
150,4,5.868
150,6,5.970
148,6,5.924
146,6,5.866
144,6,5.802
142,6,5.764
140,6,5.768
138,6,5.803
136,6,5.866
134,6,5.946
132,6,6.028
130,6,6.110
128,6,6.182
126,6,6.240
124,6,6.263
122,6,6.219
120,6,6.091
118,6,5.913
116,6,5.750
114,6,5.671
112,6,5.717
110,6,5.906
108,6,6.215
106,6,6.591
104,6,6.939
102,6,7.209
100,6,7.361
98,6,7.413
96,6,7.405
94,6,7.366
92,6,7.308
90,6,7.250
88,6,7.197
86,6,7.163
84,6,7.141
82,6,7.109
80,6,7.045
78,6,6.957
76,6,6.856
74,6,6.779
72,6,6.733
70,6,6.775
68,6,6.963
66,6,7.272
64,6,7.600
62,6,7.868
60,6,8.017
58,6,8.045
56,6,8.007
54,6,7.962
52,6,7.935
50,6,7.933
